cfrid,Lat,Long
1,12.8477847,103.3668491
2,12.71346504,103.428547
12,12.55718898,103.839945
34,12.79870296,104.772683
10,12.33943703,103.779803
5,13.18319896,103.275787
35,12.72974798,104.839092
16,12.40280597,103.804544
13,12.53184504,104.082311
4,12.96765799,103.374514
40,12.88966999,105.113965
6,13.04516503,103.341242
17,12.39131581,103.7220775
39,12.82284301,105.090077
11,12.60010399,103.697928
38,12.80167527,104.8465929
28,13.62003098,103.403614
14,12.68200298,103.876966
15,12.64949896,103.794416
8,12.48081098,104.142493
33,12.77723196,104.945406
21,13.54903392,103.5159857
31,12.82811665,104.6569944
9,12.45603601,104.241066
22,13.53410499,103.553443
30,12.80326104,104.876086
7,13.145815,103.119902
29,13.56711804,103.42121
26,13.55393406,103.4671856
32,12.89662999,104.614223
25,13.55025876,103.4560142
3,13.18270099,103.028153
27,13.23387402,104.079237
36,12.874097,104.609189
37,13.024595,104.489923
23,13.36053891,104.0762667
24,13.07634001,104.355368
18,13.29548897,104.377214
19,13.22488996,104.365742
20,13.39658612,104.0755