commercial_species,scode,commercial_flag
Anabas testudineus,38,1
Anematichthys/Cyclocheilichthys apogon,9,1
Barbonymus altus,142,1
Barbonymus gonionotus,15,1
Boesemania microlepis,,1
Channa micropeltes,111,1
Channa striata,43,1
Cirrhinus microlepis,,1
Clarias batrachus,40,1
Cyclocheilichthys enoplos,159,1
Henicorhynchus lobatus,23,1
Henicorhynchus siamensis,22,1
Leptobarbus hoeveni,169,1
Oxyeleotris marmorata,78,1
Pangasianodon hypophthalmus,86,1
Pangasius djambal,,1
Pangasius larnaudii,,1
Thynnichthys thynnoides,128,1
Trichogaster microlepis,52,1
Trichopodus pectoralis,51,1