Species,Community,Total,Consumed,Sold,numday,Tot_daily,Cons_daily,Sold_daily,LongMig,TG,TL,Pr_content,Fe_content,Zn_content,Ca_content,VitA_content,O3_content,Pr_MinBio,Fe_MinBio,Zn_MinBio,Ca_MinBio,VitA_MinBio,O3_MinBio,Pr_RDA_100g,Fe_RDA_100g,Zn_RDA_100g,Ca_RDA_100g,VitA_RDA_100g,O3_RDA_100g,Num_RDA_100,Num_RDA_50
Mystus albolineatus,Cambodia,1117.568626,531.4976454,300.1001075,1103,10.13208183,4.81865499,2.720762534,NA,3.650000095,42.70000076,21.3509006,2.0411962,3.2978148,396.9327297,34.1601395,325.6588466,60.88736135,369.8811511,124.3247498,113.369336,1170.955405,87.51489572,1.642376969,0.270357113,0.804345073,0.882072733,0.085400349,1.14266262,2,4
Mystus atrifasciatus,Cambodia,27.97163,15.8563788,4.901127,1103,0.25359592,0.143756834,0.044434515,NA,3.039999962,18.29999924,24.0679994,1.6179232,1.5708687,111.1902469,20.4021371,285.4574289,54.0136294,466.6476134,261.0020812,404.7117553,1960.578924,99.83975583,1.851384569,0.214294464,0.383138707,0.247089438,0.051005343,1.001605014,2,2
Mystus bocourti,Cambodia,77.5074501,48.7719988,6.26565,1103,0.702696737,0.442175873,0.05680553,NA,3.5,29.28000069,24.2579837,1.598693,1.5390007,105.9094042,19.8519674,283.4043641,53.59060407,472.260778,266.4066365,424.891447,2014.913645,100.5630245,1.865998746,0.211747417,0.375366024,0.235354232,0.049629919,0.994401278,1,2
Mystus gulio,Cambodia,21.66885,6.3731133,10.11,1103,0.196453762,0.057779812,0.091659112,NA,4,46,21.3509006,2.0411962,3.2978148,396.9327297,34.1601395,325.6588466,60.88736135,369.8811511,124.3247498,113.369336,1170.955405,87.51489572,1.642376969,0.270357113,0.804345073,0.882072733,0.085400349,1.14266262,2,4
Mystus multiradiatus,Cambodia,209.5309299,65.3883588,108.506439,1103,1.899645783,0.592822836,0.983739248,NA,3.059999943,15.61999989,24.0679994,1.6179232,1.5708687,111.1902469,20.4021371,285.4574289,54.0136294,466.6476134,261.0020812,404.7117553,1960.578924,99.83975583,1.851384569,0.214294464,0.383138707,0.247089438,0.051005343,1.001605014,2,2
Mystus mysticetus,Cambodia,639.449505,298.5613482,83.111929,1103,5.797366319,2.70681186,0.753507969,NA,3.109999895,15.85999966,24.0679994,1.6179232,1.5708687,111.1902469,20.4021371,285.4574289,54.0136294,466.6476134,261.0020812,404.7117553,1960.578924,99.83975583,1.851384569,0.214294464,0.383138707,0.247089438,0.051005343,1.001605014,2,2
Mystus singaringan,Cambodia,147.4785,51.0544613,18.5781467,1103,1.33706709,0.462869096,0.16843288,NA,3.769999981,36.59999847,24.2579837,1.598693,1.5390007,105.9094042,19.8519674,283.4043641,53.59060407,472.260778,266.4066365,424.891447,2014.913645,100.5630245,1.865998746,0.211747417,0.375366024,0.235354232,0.049629919,0.994401278,1,2
Mystus wolffii,Cambodia,116.52443,47.020284,49.2,1103,1.056431822,0.426294506,0.44605621,NA,3.349999905,20,21.3509006,2.0411962,3.2978148,396.9327297,34.1601395,325.6588466,60.88736135,369.8811511,124.3247498,113.369336,1170.955405,87.51489572,1.642376969,0.270357113,0.804345073,0.882072733,0.085400349,1.14266262,2,4
Nandus nandus,Cambodia,35.4815,15.43515,12.761,1103,0.321681777,0.139937897,0.115693563,NA,3.890000105,20,16.4166667,0.84,1.6,1700,60,620.9423705,79.1878171,898.8095238,256.25,26.47058824,666.6666667,45.89797919,1.262820515,0.111258278,0.390243902,3.777777778,0.15,2.17874516,3,3
Nandus oxyrhynchus,Cambodia,10.24898,5.381582,0.4995,1103,0.09291913,0.048790408,0.004528558,NA,3.299999952,8.420000076,17.2492046,1.1569108,1.1732863,215.8738149,79.4172607,416.7313056,75.36579397,652.6000103,349.4458258,208.4551108,503.6688454,68.38939052,1.326861892,0.153233219,0.28616739,0.479719589,0.198543152,1.462215107,2,2
Notopterus notopterus,Cambodia,639.7648842,221.1769136,311.5937075,1103,5.800225605,2.005230404,2.824965617,NA,3.599999905,73.19999695,19.9333333,1.7,3.4393333,230,200,456.575,65.21739141,444.1176471,119.2091502,195.6521739,200,62.42128894,1.533333331,0.225165563,0.83886178,0.511111111,0.5,1.602017544,2,5
Ompok bimaculatus,Cambodia,591.1925252,150.3848613,367.978176,1103,5.359859703,1.363416694,3.336157534,NA,3.930000067,54.90000153,14.675,1.1977298,0.98872,69.6084143,70,278.6881098,88.58603066,630.3592012,414.6775629,646.4735686,571.4285714,102.2648581,1.128846154,0.158639709,0.24115122,0.154685365,0.175,0.977853017,1,2
Ompok hypophthalmus,Cambodia,624.8768552,299.9856638,211.8099055,1103,5.665248007,2.719724967,1.920307393,NA,3.869999886,36.59999847,15.3658333,0.8288649,0.94436,270.0542072,73.2797376,223.3440549,84.6032867,910.8842708,434.1564658,166.6332121,545.853483,127.6058143,1.181987177,0.10978343,0.230331707,0.60012046,0.183199344,0.783663351,1,3
Ophisternon bengalense,Cambodia,113.57065,39.3977732,70.2013,1103,1.029652312,0.357187427,0.636457842,NA,3.269999981,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Oreochromis niloticus,Cambodia,18.15026,14.725224,2,1103,0.164553581,0.133501578,0.018132366,NA,2,73.19999695,20.1486667,5.05975,2.8363913,171.8158,26.6042857,522.6398832,64.52039827,149.2168585,144.5498722,261.9083926,1503.517157,54.5308556,1.549897438,0.670165563,0.691802756,0.381812889,0.066510714,1.833824152,2,4
Osteochilus melanopleurus,Cambodia,7.13917,3.416277,3.473855,1103,0.064725023,0.030972593,0.031494606,NA,2.319999933,73.19999695,21.7851226,4.99,9.14,2430,812,230.1441308,59.67375185,151.3026052,44.85776805,18.51851852,49.26108374,123.8354413,1.675778662,0.660927152,2.229268293,5.4,2.03,0.807523266,4,6
Osteochilus microcephalus,Cambodia,3.316235,1.7466664,0,1103,0.030065594,0.015835597,0,NA,2,29.28000069,21.6125242,2.6874853,2.593868,477.4092822,99.7232568,238.7753208,60.15030859,280.9317692,158.0650981,94.25874544,401.1100448,119.359069,1.662501862,0.355958318,0.632650732,1.060909516,0.249308142,0.837808143,2,4
Osteochilus vittatus,Cambodia,328.38168,110.3266149,51.267,1103,2.97716845,1.000241295,0.464796011,NA,2,39.04000092,21.550619,3.555,4.165,4660,286.6666667,396.6307191,60.32309327,212.3769339,98.43937575,9.656652361,139.5348837,71.85525131,1.657739923,0.470860927,1.015853659,10.35555556,0.716666667,1.391686734,4,5
Osteochilus waandersii,Cambodia,17.881,3.0854499,0,1103,0.162112421,0.027973254,0,NA,2,27.60000038,21.6128205,2.6838894,2.5879955,472.2315528,99.2205487,238.1960678,60.14948396,281.3081642,158.4237685,95.29223478,403.1422979,119.6493303,1.662524654,0.35548204,0.631218415,1.049403451,0.248051372,0.835775676,2,4
Oxyeleotris marmorata,Cambodia,66.934424,40.7308556,12.59176,1103,0.606839746,0.369273396,0.114159202,NA,3.900000095,79.30000305,17.0786426,0.8358892,1.2515464,51.4485078,52.5932665,61,76.11846155,903.2297582,327.594726,874.6609362,760.5536348,467.2131148,1.313741738,0.110713801,0.30525522,0.114330017,0.131483166,0.214035088,1,1
Oxygaster pointoni,Cambodia,32.40348,17.6742733,4.496904,1103,0.293775884,0.160238199,0.040769755,NA,3.329999924,18.90999985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pangasianodon hypophthalmus,Cambodia,24.603755,10.2529766,10.192,1103,0.223062149,0.092955364,0.092402539,NA,3.119999886,158.6000061,15.3014286,1.695,0.64,20.7825,14.87,96.4986667,84.95938739,445.4277286,640.625,2165.283291,2689.979825,295.3408682,1.177032969,0.224503311,0.156097561,0.046183333,0.037175,0.338591813,1,1
Pangio fusca,Cambodia,7.05736,6.221346,0.028,1103,0.063983318,0.056403862,0.000253853,NA,3.480000019,9.760000229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pao cambodgiensis,Cambodia,9.103,5,1.63848,1103,0.082529465,0.045330916,0.01485476,NA,3.349999905,18.67000008,17.2240649,1.0337025,1.0732281,121.7484301,55.7120649,407.927856,75.4757955,730.3842256,382.0250327,369.6146222,717.9773371,69.865295,1.324928069,0.136914238,0.261762951,0.270552067,0.139280162,1.431325811,2,2
Pao cochinchinensis,Cambodia,0.28388,0.083,0,1103,0.002573708,0.000752493,0,NA,3.309999943,13.76000023,17.2240649,1.0337025,1.0732281,121.7484301,55.7120649,407.927856,75.4757955,730.3842256,382.0250327,369.6146222,717.9773371,69.865295,1.324928069,0.136914238,0.261762951,0.270552067,0.139280162,1.431325811,2,2
Paralaubuca typus,Cambodia,1.8257,1.12833,0,1103,0.016552131,0.010229646,0,NA,3.299999952,21.95999908,20.1419284,2.3859874,2.2709187,358.1013561,105.6257719,250.9928514,64.54198298,316.4308412,180.5436716,125.6627467,378.6954574,113.5490507,1.549379108,0.316024821,0.55388261,0.795780791,0.26406443,0.880676672,1,4
Parambassis apogonoides,Cambodia,58.42634,26.64933,11.61125,1103,0.529703898,0.241607706,0.105269719,NA,2.869999886,12.19999981,17.5764129,2.335,7.015,2391.833333,446.6666667,609.2924907,73.96275949,323.3404711,58.44618674,18.81401993,89.5522388,46.77556417,1.352031762,0.309271523,1.71097561,5.315185184,1.116666667,2.137868388,5,5
Parambassis siamensis,Cambodia,40.46266,22.7385085,0.225,1103,0.366841886,0.206151482,0.002039891,NA,3.470000029,9.149999619,17.5764129,2.335,7.015,2391.833333,446.6666667,609.2924907,73.96275949,323.3404711,58.44618674,18.81401993,89.5522388,46.77556417,1.352031762,0.309271523,1.71097561,5.315185184,1.116666667,2.137868388,5,5
Parambassis wolffii,Cambodia,24.3828095,13.2693905,1.795,1103,0.221059016,0.120302724,0.016273799,NA,3.720000029,24.39999962,19.5328259,2.72,11.43,3040,961,459.9037591,66.55462997,277.5735294,35.87051619,14.80263158,41.62330905,61.96948695,1.502525069,0.360264901,2.787804878,6.755555556,2.4025,1.6136974,5,5
Phalacronotus bleekeri,Cambodia,36.607485,10.2549668,23.7075,1103,0.331890163,0.092973407,0.214936537,NA,4.5,73.19999695,15.565,0.4845,0.2655,5.7006212,18.6677626,79.986,83.52071956,1558.307534,1544.256121,7893.876548,2142.731342,356.3123547,1.197307692,0.064172185,0.064756098,0.012668047,0.046669407,0.280652632,1,1
Poropuntius normani,Cambodia,8.5937,3.134895,3.05,1103,0.077912058,0.028421532,0.027651859,NA,3.160000086,15.85999966,21.9860041,2.8673119,2.7504799,533.771093,95.1298007,244.6096784,59.12852531,263.3128262,149.0648959,84.30580185,420.4781226,116.5121519,1.691231085,0.379776411,0.670848756,1.186157984,0.237824502,0.858279573,2,4
Pristolepis fasciata,Cambodia,553.3563239,170.2796795,102.861551,1103,5.016829772,1.543786759,0.932561659,NA,3.190000057,20,17.2491926,1.1569055,1.1732915,215.8801873,79.4169422,416.7336827,75.3658464,652.603,349.4442771,208.4489576,503.6708653,68.38900042,1.326860969,0.153232517,0.286168659,0.47973375,0.198542356,1.462223448,2,2
Pseudomystus siamensis,Cambodia,2.753635,1.8021535,0,1103,0.024964959,0.016338654,0,NA,3.299999952,18.29999924,22.9593373,1.4189626,1.3281074,85.9545513,20.6770127,262.4395632,56.62184335,532.0788582,308.7099733,523.5324869,1934.515424,108.5964313,1.766102869,0.187942066,0.323928634,0.191010114,0.051692532,0.920840573,1,2
Puntigrus partipentazona,Cambodia,0.26,0.257,0,1103,0.002357208,0.002330009,0,NA,2.869999886,4.880000114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Puntioplites falcifer,Cambodia,15.259535,9.77536685,1.500625,1103,0.138345739,0.088625266,0.013604941,NA,2.579999924,41.43000031,21.9148015,2.9098853,2.8187387,548.1293402,105.4917393,237.9624249,59.3206377,259.4603987,145.4551286,82.0974115,379.1766091,119.7668078,1.685753962,0.385415272,0.687497244,1.2180652,0.263729348,0.834955877,2,4
Puntioplites proctozystron,Cambodia,222.4786737,101.0233135,70.46356,1103,2.0170324,0.915895861,0.638835539,NA,2.700000048,30,19.532088,3.0192419,3.5590933,980.6398594,1190.5,252.1725595,66.55714433,250.0627724,115.1978792,45.88840599,33.59932801,113.017848,1.502468308,0.399899589,0.868071537,2.179199688,2.97625,0.884815998,3,5
Puntius brevis,Cambodia,567.358063,270.2759348,63.051995,1103,5.143772103,2.450371122,0.571640934,NA,2.910000086,14.64000034,15.1,5.6852546,11.7927301,2236.275572,2.3289704,294.298,86.09271523,132.7996815,34.76718254,20.12274362,17174.9714,96.84061733,1.161538462,0.753013854,2.876275634,4.969501271,0.005822426,1.032624561,4,5
Puntius spp,Cambodia,202.7947251,34.3968017,112.785738,1103,1.838574117,0.311847704,1.022536156,NA,2.910000086,14.64000034,15.1,6.1531515,5.6443767,1137.261857,79.4468886,142.8815833,86.09271523,122.7013507,72.63866708,39.56872353,503.4810136,199.4658748,1.161538462,0.814986954,1.376677244,2.527248571,0.198617222,0.501338889,3,5
Rasbora aurotaenia,Cambodia,131.731761,61.95789579,24.59558,1103,1.19430427,0.56172163,0.222988033,NA,2.630000114,18.29999924,19.1,2.5891884,1.9068514,242.4909831,97.0419718,288.0474891,68.06282723,291.5971661,215.0141327,185.5739105,412.1927786,98.94201852,1.469230769,0.342938861,0.465085707,0.538868851,0.24260493,1.010692944,2,3
Rasbora borapetensis,Cambodia,0.1,0.09,0,1103,0.000906618,0.000815956,0,NA,3.289999962,7.320000172,15.35,1.927,0.434,24.469,55.7519365,374.5,84.69055375,391.8007265,944.7004608,1839.06167,717.4638678,76.10146862,1.180769231,0.255231788,0.105853659,0.054375556,0.139379841,1.314035088,2,2
Rasbora caudimaculata,Cambodia,21.6349999,19.5727499,0.56,1103,0.196146871,0.177450135,0.005077063,NA,3.299999952,20.73999977,19.1669335,2.6005693,1.948229,250.6466221,97.7290998,287.0022986,67.82514271,290.3210462,210.4475398,179.5356332,409.2946736,99.30234057,1.4743795,0.344446265,0.475177805,0.556992494,0.24432275,1.007025609,2,3
Rasbora daniconius,Cambodia,20.1857,13.541205,0,1103,0.183007253,0.122767044,0,NA,3.140000105,15,19.3327798,2.634565,2.0791499,277.2188153,100.1299031,283.7155365,67.24330456,286.5748235,197.195979,162.3266442,399.4810617,100.4527293,1.487136908,0.348949007,0.507109732,0.616041812,0.250324758,0.995493111,1,4
Rasbora paviana,Cambodia,3.77,1.7957,1.8,1103,0.03417951,0.016280145,0.01631913,NA,3.200000048,14.64000034,19.1669335,2.6005693,1.948229,250.6466221,97.7290998,287.0022986,67.82514271,290.3210462,210.4475398,179.5356332,409.2946736,99.30234057,1.4743795,0.344446265,0.475177805,0.556992494,0.24432275,1.007025609,2,3
Rasbora spp,Cambodia,20.1178,12.711675,0.315,1103,0.182391659,0.115246374,0.002855848,NA,3.226000023,15.68800001,18.3561078,2.8836487,2.4694099,494.4053404,124.7303352,304.0535246,70.82111383,261.8210741,166.0315689,91.01843431,320.6918344,93.73349655,1.412008292,0.381940225,0.602295098,1.098678534,0.311825838,1.066854472,3,4
Rasbora tornieri,Cambodia,20.58724,12.9352151,0,1103,0.186647688,0.117273029,0,NA,3.200000048,20.73999977,18.02,4.95,6.5,1920.96,300,304.0535246,72.14206437,152.5252525,63.07692308,23.42578711,133.3333333,93.73349655,1.386153846,0.655629139,1.585365854,4.2688,0.75,1.066854472,4,6
Rasbora tornieri / aurotaenia,Cambodia,8.01804,7.296294,0,1103,0.072693019,0.066149538,0,NA,2.915000081,19.5199995,18.3561078,2.8836487,2.4694099,494.4053404,124.7303352,304.0535246,70.82111383,261.8210741,166.0315689,91.01843431,320.6918344,93.73349655,1.412008292,0.381940225,0.602295098,1.098678534,0.311825838,1.066854472,3,4
Syncrossus beauforti,Cambodia,2.3389,1.943705,0,1103,0.021204896,0.017621985,0,NA,3.549999952,30.5,18.9680089,2.3136744,1.9210234,271.9815017,63.1716424,287.596867,68.53645034,326.3207649,213.4279051,165.4524286,633.1955048,99.09704614,1.459077608,0.30644694,0.468542293,0.604403337,0.157929106,1.009111814,2,3
Syncrossus helodes,Cambodia,9.51143,5.9544125,1.50848,1103,0.086232366,0.053983794,0.013676156,NA,3.309999943,36.59999847,18.9680089,2.3136744,1.9210234,271.9815017,63.1716424,287.596867,68.53645034,326.3207649,213.4279051,165.4524286,633.1955048,99.09704614,1.459077608,0.30644694,0.468542293,0.604403337,0.157929106,1.009111814,2,3
Systomus orphoides,Cambodia,318.4966268,154.4504237,58.13924,1103,2.887548747,1.400275827,0.527100997,NA,2.930000067,9.640000343,22.4228178,2.7928627,2.6171801,465.1014061,78.1229782,250.8769868,57.97665626,270.3319429,156.6571594,96.75309386,512.0132504,113.601492,1.724832138,0.369915589,0.63833661,1.03355868,0.195307446,0.880270129,2,4
Thynnichthys thynnoides,Cambodia,219.01526,117.2046106,46.366705,1103,1.985632457,1.062598464,0.420369039,NA,2.309999943,25,20.5103919,2.7187272,2.8627737,597.4880435,300,242.8289934,63.38250416,277.7034783,143.2177472,75.31531466,133.3333333,117.3665451,1.577722454,0.360096318,0.698237488,1.327751208,0.75,0.852031556,2,5
Trichopodus microlepis,Cambodia,1411.17682,396.2215249,70.11037,1103,12.79398749,3.592216908,0.635633454,NA,3.359999895,15.85999966,15.7715608,1.3444232,1.2862583,296.5104811,300,414.0481294,82.42684516,561.5791218,318.754017,151.7652929,133.3333333,68.83257761,1.213196985,0.178069298,0.313721537,0.65891218,0.75,1.452800454,2,4
Trichopodus pectoralis,Cambodia,448.05722,96.5758087,65.39652,1103,4.062168812,0.875573968,0.592896827,NA,2.75999999,25,16.712213,0.984,0.963,263,104.2897392,440.4577722,77.78742408,767.2764228,425.7528557,171.1026616,383.5468408,64.70540832,1.285554846,0.130331126,0.234878049,0.584444444,0.260724348,1.545465867,2,3
Trichopodus trichopterus,Cambodia,2938.341859,797.610666,1221.034875,1103,26.63954541,7.23128437,11.07012579,NA,2.680000067,18.29999924,16.8516857,1.3221263,1.1572153,227.7823819,100,403.3035286,77.14361775,571.0498309,354.2988068,197.5569823,400,70.66637899,1.296283515,0.175116066,0.282247634,0.506183071,0.25,1.4151001,2,3
Trichopsis pumila,Cambodia,39.70891,32.4351933,0.455,1103,0.36000825,0.294063403,0.004125113,NA,3.289999962,4.880000114,16.0534767,1.350524,1.3011661,291.121552,250,415.0266358,80.97934325,559.042268,315.1019689,154.5746088,160,68.67029135,1.234882823,0.178877351,0.317357585,0.646936782,0.625,1.45623381,2,4
Trichopsis schalleri,Cambodia,56.026925,42.96919235,0.1,1103,0.507950363,0.389566567,0.000906618,NA,3.329999924,6.099999905,16.800604,1.3349913,1.2094106,242.5830214,116.9265228,407.5468396,77.37817045,565.5467567,339.0081086,185.503502,342.0951812,69.93061222,1.292354154,0.17682004,0.294978195,0.539073381,0.292316307,1.429988911,2,3
Trichopsis vittata,Cambodia,32.361905,26.3134625,0,1103,0.293398957,0.23856267,0,NA,3.380000114,8.539999962,14.6026249,1.8,1.9410925,878,1585,496.4693133,89.02509028,419.4444444,211.2212581,51.25284738,25.23659306,57.40536069,1.123278838,0.238410596,0.473437195,1.951111111,3.9625,1.741997591,4,4
Trigonopoma pauciperforatum,Cambodia,45.9404,33.007606,0.915,1103,0.41650408,0.299253001,0.008295558,NA,3.299999952,7,19.2786821,2.6234273,2.0355053,268.2552689,99.3403681,284.7834947,67.43199526,287.7914703,201.4241869,167.7506659,402.6560477,100.0760245,1.482975546,0.347473815,0.496464707,0.59612282,0.24835092,0.999240332,1,3
Tuberoschistura cambodgiensis,Cambodia,0.5025,0,0.5025,1103,0.004555757,0,0.004555757,NA,2.890000105,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Wallago attu,Cambodia,44.86722,7.060677,37.39719,1103,0.406774433,0.064013391,0.339049773,NA,3.680000067,240,20.6744963,1.3632936,0.8840579,120.5359511,24.7677434,1536.211879,62.87940374,553.8058713,463.7705291,373.3325999,1615.003812,18.55212838,1.590345869,0.180568689,0.215623878,0.267857669,0.061919359,5.390217119,2,2
Xenentodon cancila,Cambodia,93.72744071,31.99713251,29.829977,1103,0.849750142,0.290091863,0.270444034,NA,3.859999895,40,16.88875,2.9516667,8.195,2165,80.2,72.8,76.97431722,255.7876877,50.03050641,20.7852194,498.7531172,391.4835165,1.299134615,0.390949232,1.998780488,4.811111111,0.2005,0.255438596,3,3
Yasuhikotakia lecontei,Cambodia,3.5103547,2.4525667,0.4329897,1103,0.031825519,0.022235419,0.003925564,NA,3.410000086,18.29999924,18.9680089,2.3136744,1.9210234,271.9815017,63.1716424,287.596867,68.53645034,326.3207649,213.4279051,165.4524286,633.1955048,99.09704614,1.459077608,0.30644694,0.468542293,0.604403337,0.157929106,1.009111814,2,3
Yasuhikotakia modesta,Cambodia,3.301,1.5739,1.32,1103,0.029927471,0.014269266,0.011967362,NA,3.359999895,30.5,18.9680089,2.3136744,1.9210234,271.9815017,63.1716424,287.596867,68.53645034,326.3207649,213.4279051,165.4524286,633.1955048,99.09704614,1.459077608,0.30644694,0.468542293,0.604403337,0.157929106,1.009111814,2,3
Yasuhikotakia morleti,Cambodia,3.11529,2.8705547,0,1103,0.02824379,0.026024975,0,NA,3.549999952,10,18.9680089,2.3136744,1.9210234,271.9815017,63.1716424,287.596867,68.53645034,326.3207649,213.4279051,165.4524286,633.1955048,99.09704614,1.459077608,0.30644694,0.468542293,0.604403337,0.157929106,1.009111814,2,3